date,Pixel16080472,Pixel16080473,Pixel16200472,Pixel16110473,Pixel16140473,Pixel16170473,Pixel16050472,Pixel16140476,Pixel16110476,Pixel16140475,Pixel16200473,Pixel16110474,Pixel16080474,Pixel16200474,Pixel16230474,Pixel16110475,Pixel16080475,Pixel16170476,Pixel16170475,Pixel16140477,Pixel16170474,Pixel16200475,Pixel16080476,Pixel16140474,Pixel16230472,Pixel16050473
01-Mar-00,9.694010496,10.25141573,18.92815303,7.81848192,8.607966888,9.099910488,4.587331656,6.90162492,7.89602136,6.832016952,12.24703932,9.771721608,8.901043656,20.94468211,22.37373161,8.761658904,8.144952528,5.260165224,8.157748464,5.297845968,8.837261448,17.44030666,6.135479448,7.593501816,21.41539478,4.898781888
02-Mar-00,7.723011024,7.564927344,6.218764536,6.830047128,6.863872296,7.836914784,10.08476686,5.906379456,5.18736648,7.043185464,6.35184432,6.601881264,6.831874608,5.781265488,3.006581424,6.30402732,6.12405396,5.94898296,6.822531936,5.6325438,7.6546104,5.284178856,5.61034512,7.350025896,3.3928746,9.561780456
03-Mar-00,0,0.139558296,0,0,0,0,0.041839488,0.573216264,2.90608728,0,0,0,0.274796184,0,0,0.431287632,0.831754704,1.09848144,0,1.752380664,0,0.051334848,5.60128176,0,0,0.139384632
04-Mar-00,13.43877269,10.33684944,15.05582856,16.3478179,15.9633007,15.1965065,9.83323788,24.3463297,20.41467475,18.15861367,13.61473418,16.44027185,8.77488828,11.77630805,11.77885867,17.18907451,10.61643504,23.07155086,16.90608931,22.46671915,23.46329498,13.1288538,13.8381486,16.43847514,15.66294622,8.328999288
05-Mar-00,10.31316662,10.74236227,6.203230608,8.08560204,7.432366128,8.833048584,16.21212245,8.36591364,8.708282232,8.623344192,9.424483536,10.01386214,11.29418278,10.13081002,6.78869604,9.275326968,11.8091011,10.22298432,9.348367464,8.06313444,7.987265832,7.571035632,10.16443277,8.028297192,5.9358126,16.56285523
06-Mar-00,10.86217404,8.760593184,11.40415049,9.114723432,10.57349825,10.67872238,13.2305045,8.005683672,11.96331526,12.23326922,10.04424619,9.41170836,9.631585848,8.665624392,13.72513246,10.30215168,11.39181948,8.709096192,10.37701464,8.0409894,10.22548771,11.19173741,12.26577043,12.65291261,14.99629354,12.20022583
07-Mar-00,9.04613328,9.348385344,11.43491794,10.11773873,10.61262703,10.98379469,8.825630664,12.36885595,12.73302269,11.12091206,11.41779542,10.23520231,9.479419464,11.70892524,13.12369394,11.12080694,10.47924614,13.21833658,12.16757726,13.21666289,11.3130827,12.52760554,11.54190874,10.38230897,12.68890286,8.951429136
08-Mar-00,7.86803556,7.909514664,5.05410396,7.442140824,5.954890968,4.494530448,4.790154216,5.661028152,5.958393576,7.649946936,5.024281032,8.542778496,7.89972996,8.067482472,4.523004768,5.749684104,8.857692,9.438507552,7.073232648,6.57605196,6.10842348,4.381109112,13.04839754,6.535409688,4.662844056,5.066276184
09-Mar-00,13.02488566,13.11562301,7.19155884,11.74610926,10.18721508,6.91322064,13.90841818,16.0082202,14.69899464,11.03136564,8.521538976,11.56171632,12.79543306,7.643526072,3.303588504,9.677575344,10.53759814,8.403859368,9.90542436,12.0729947,10.00790119,7.671247248,13.77010488,10.07465959,6.933789264,15.60064601
10-Mar-00,1.798077096,1.92577368,3.011877168,2.693925432,3.87750972,4.517933256,3.914951928,4.64437044,3.798583392,6.556162824,3.134206656,2.82875472,2.221455048,4.206241248,3.655371312,4.590831408,4.35079836,6.530179728,6.017178288,4.107931848,3.140631792,26.21748734,4.572313416,5.835233328,2.236843416,4.550284632
11-Mar-00,0.60277368,0.550465008,2.154196152,0.329318664,0.649503888,1.794911736,0.482423328,0.508159104,0.52367172,0.978684168,1.711384704,0.636100128,0.961473048,2.661645408,0.655921824,0.845518296,1.195658232,0.973516248,3.758042688,0.630159984,1.266142848,3.132296208,0.504418104,0.92544276,0.631304832,0.340191336
12-Mar-00,0.100469808,0.080477208,0.072007776,0.117240432,0.10838856,1.878063264,0.343057656,0.806251368,3.690936336,7.653908016,0.87154368,0.156722424,0.2011374,0.59554056,0.181523664,0.072421296,0.163681824,1.401981984,1.790181216,1.586856552,0.224043768,1.538966784,0.024588624,0.2494368,0.054677304,0.371961936
13-Mar-00,2.888394888,3.27050544,3.01315248,3.69514668,3.665715696,2.565100728,3.513600816,3.865760568,3.5762844,4.737148416,2.594997168,3.55732692,3.637025352,2.255800896,2.764273872,4.260930408,5.642464392,2.803492608,2.242113936,4.33520328,3.030639408,3.161748648,3.0466776,3.20126688,3.915081384,5.6231382
14-Mar-00,3.785794248,4.385400648,1.607324664,2.19533712,1.745529048,2.711057424,3.250355592,3.516212952,3.099878664,5.44281864,2.879632824,2.263510296,3.977118024,2.916890856,3.048547272,4.874243616,10.18427395,3.368753304,5.308902024,3.457998264,2.210028816,3.071034552,4.099225752,2.327577888,3.142455336,3.901610616
15-Mar-00,5.809716216,6.942536832,4.883732208,6.195899952,4.97678268,4.898745408,4.061959512,7.670032032,13.21116401,8.292708624,4.693354008,7.891252032,6.428364504,6.038339856,19.03395509,12.75870466,8.148753408,7.594567536,6.207753888,4.202881704,6.488388768,7.347756384,10.62652159,4.985995536,8.899565208,5.15123748
16-Mar-00,4.980760224,4.708713408,3.268842816,2.659867656,1.148868624,1.463993496,4.316470032,1.750642056,0.498977784,1.219480896,2.436059664,0.385895448,2.576072568,1.675118568,4.289152968,0.380391456,1.194340296,1.227643224,1.345216872,1.593739992,1.347668952,1.921345344,0.589683384,0.903156192,2.891771088,4.331436744
17-Mar-00,7.250812776,4.413000936,14.2873621,10.47198773,15.15032815,14.14027262,4.987974288,13.57103206,11.53222133,13.20994663,15.146214,10.99045586,6.371307144,15.73809386,17.74727582,11.18146418,6.900943992,14.7338891,14.23635149,13.33203077,13.63533353,16.40179109,7.745198976,13.49157571,18.40354298,3.927809712
18-Mar-00,9.269106384,12.73449326,17.36583281,11.65814066,10.87604069,12.93424702,9.108198888,14.32735776,14.88419294,13.29929782,17.33103847,13.24152518,13.17767573,17.66946317,22.38439608,13.61081458,14.02055311,14.85681725,13.96147728,15.46630097,13.37633086,17.81456995,14.69209241,12.31157398,22.36201001,10.5066991
